"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.0961296725023116,0.000168569038809217,0.00339966194257391,0.0878203037298298,0.0944529715885872,0.0971777286530238,0.0986833890584922,0.0998604391301998,406.739027829341,1.00823377687133
"theta[2]",0.00558937805810141,0.000203052131197634,0.00373712945586673,0.00149150403378405,0.00302236196573422,0.00456677812008601,0.00704660891013256,0.0148823799596841,338.73586387909,1.00666538694946
"theta[3]",0.00650237013260811,0.00032942774091115,0.00448893789325636,0.00167193933291879,0.00336829588166251,0.00526923767926431,0.00822572428572601,0.0202032401530645,185.68073963894,1.03335051884028
"theta[4]",0.75214143357252,0.00626835811802413,0.119439754809738,0.530268852037917,0.665196565654641,0.74857300348859,0.845429964511968,0.970899350325136,363.069866846494,0.999125839764152
"theta[5]",0.00592636673302645,0.0001178123546436,0.00245017912077629,0.00147221201216722,0.00419929276410051,0.00588517201531526,0.00773575759565237,0.01063933134719,432.527771157868,0.999080040475021
"theta[6]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.03045685279188,0.989949493661167
"theta[7]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.03045685279188,0.989949493661167
"theta[8]",0.399025111882491,0.00293392750389021,0.0530698659593747,0.302718043597752,0.365224151217631,0.399041407860804,0.428822848022623,0.518138224145611,327.187892705951,1.01755705102601
"theta[9]",1,NA,0,1,1,1,1,1,NA,NA
"theta[10]",51.1841613012956,0.0561655845292851,1.08976875091639,50.0301691961797,50.3237535915968,50.8664674862303,51.7560413211164,54.1343434079204,376.468058774778,1.0006784954268
"R_0",0.42562208473089,0.0174730676235535,0.336952930244136,0.0503937157049841,0.189737402931512,0.331594463281449,0.54993183102476,1.27228521442812,371.877719946531,0.996531066170078
"y_init[1]",934,NA,0,934,934,934,934,934,NA,NA
"y_init[2]",65,NA,0,65,65,65,65,65,NA,NA
"y_init[3]",1,NA,0,1,1,1,1,1,NA,NA
"y_init[4]",30184.1613012956,56.1655845292851,1089.76875091639,29030.1691961797,29323.7535915968,29866.4674862303,30756.0413211164,33134.3434079204,376.468058774779,1.0006784954268
"y_init[5]",1000,NA,0,1000,1000,1000,1000,1000,NA,NA
"y_init[6]",20000,NA,0,20000,20000,20000,20000,20000,NA,NA
"y_init[7]",1,NA,0,1,1,1,1,1,NA,NA
