"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.0982843982053959,9.43111071342785e-05,0.00172655725091822,0.0935449120680377,0.0976566068720845,0.098768725671214,0.0995679474942321,0.0999516061403238,335.147729155381,1.00592025372339
"theta[2]",0.00694540865501091,0.000327648321946105,0.00675617921752187,0.000173456616771499,0.00198090392712244,0.00471023155724113,0.0103516514465834,0.0230496596226938,425.193313796868,1.00193339137932
"theta[3]",0.000854086558165006,4.06661950148671e-05,0.000834832168085818,0.000124162145309153,0.000300322564646037,0.000589979565523186,0.00108630111518755,0.00267896572411337,421.43565165821,1.00111971433972
"theta[4]",0.542363960802172,0.0113536052792618,0.20943368929014,0.242052152163003,0.365121990429207,0.510939466028162,0.703999529062538,0.953346476069039,340.271443471324,1.00198486202922
"theta[5]",0.00986896775943516,0.000143087376482539,0.0028955496091128,0.00450121731440067,0.00787725410700065,0.00979182576493648,0.0117775059343218,0.0153997482398002,409.505159761289,1.00215461379936
"theta[6]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.03045685279188,0.989949493661167
"theta[7]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.03045685279188,0.989949493661167
"theta[8]",0.4,0,0,0.4,0.4,0.4,0.4,0.4,2.03045685279188,NA
"theta[9]",1,NA,0,1,1,1,1,1,NA,NA
"R_0",7.94418884723007,0.411594933287413,7.69845138580232,0.861433980917199,2.57450801929238,5.12473445704821,10.6150774708019,29.3076456830777,349.837775898293,1.00172888000104
"y_init[1]",935,NA,0,935,935,935,935,935,NA,NA
"y_init[2]",65,NA,0,65,65,65,65,65,NA,NA
"y_init[3]",0,NA,0,0,0,0,0,0,NA,NA
"y_init[4]",29892.4596578818,37.9633591134133,879.122949311293,29027.3161990703,29260.9029594065,29645.3027874899,30281.8003819996,32061.5066346179,536.253288467273,0.992702996205157
"y_init[5]",1000,NA,0,1000,1000,1000,1000,1000,NA,NA
"y_init[6]",20000,NA,0,20000,20000,20000,20000,20000,NA,NA
"y_init[7]",0,NA,0,0,0,0,0,0,NA,NA
